Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
513367,In Search of Schrödinger's Cat: Quantum Physics and Reality,John Gribbin,"Gribbin, John",,"=""0553341030""","=""9780553342536""",0,4.02,Bantam Books,Paperback,320,1984,1984,,2017/10/03,to-read,to-read (#28),to-read,,,,0,,,0,,,,,
8852,Macbeth,William Shakespeare,"Shakespeare, William",,"=""0743477103""","=""9780743477109""",3,3.89,Simon  Schuster,Paperback,304,2013,1606,2017/09/30,2017/09/30,,,read,,,,1,,,0,,,,,
1420,Hamlet,William Shakespeare,"Shakespeare, William","Harold Bloom, Rex Gibson","=""0521618746""","=""9780521618748""",5,4.02,Cambridge University Press,Paperback,289,2005,1603,2017/09/30,2017/09/11,,,read,,,,1,,,0,,,,,
34089200,Directs du droit,Eric Dupond-moretti,"Dupond-moretti, Eric",Stéphane Durand-Souffland,"=""2749927226""","=""9782749927220""",4,3.39,Michel Lafon,Hardcover,248,2017,,2017/09/28,2017/09/27,,,read,,,,1,,,0,,,,,
324750,High Output Management,Andrew S. Grove,"Grove, Andrew S.",,"=""0679762884""","=""9780679762881""",0,4.33,Vintage,Paperback,272,1995,1983,,2017/09/13,to-read,to-read (#27),to-read,,,,1,,,0,,,,,
3015359,"L'Ordinatueur (Les enquêtes de Logicielle, #2)",Christian Grenier,"Grenier, Christian",,"=""2700229134""","=""9782700229134""",1,3.38,Rageot,Paperback,217,2004,1999,,2017/09/28,,,read,,,,1,,,0,,,,,
115808,Le Horla,Guy de Maupassant,"Maupassant, Guy de",André Fermigier,"=""2070409252""","=""9782070409259""",5,3.94,Editions Gallimard,Mass Market Paperback,277,1999,1887,2017/09/27,2017/09/27,,,read,La préface et les notes de fin de l'éditeur sont très intéressantes,,,1,,,0,,,,,
8492907,Physics of the Future: How Science Will Shape Human Destiny and Our Daily Lives by the Year 2100,Michio Kaku,"Kaku, Michio",,"=""0385530803""","=""9780385530804""",0,3.99,Doubleday,Hardcover,416,2011,2011,,2017/09/27,to-read,to-read (#26),to-read,,,,0,,,0,,,,,
18114322,The Grapes of Wrath,John Steinbeck,"Steinbeck, John",,"=""067001690X""","=""9780670016907""",5,3.96,Viking,Hardcover,479,2014,1939,2017/09/26,2017/09/11,,,read,,,,1,,,0,,,,,
7144,Crime and Punishment,Fyodor Dostoyevsky,"Dostoyevsky, Fyodor",David McDuff,"=""0143058142""","=""9780143058144""",0,4.21,Penguin,Paperback,671,2002,1866,,2017/09/23,to-read,to-read (#25),to-read,,,,0,,,0,,,,,
87302,La Nausée,Jean-Paul Sartre,"Sartre, Jean-Paul",,"=""207036805X""","=""9782070368051""",0,3.92,Editions Gallimard,Paperback,250,1972,1938,,2017/09/23,to-read,to-read (#24),to-read,,,,0,,,0,,,,,
14060338,Bête noire,Eric Dupont-Moretti,"Dupont-Moretti, Eric",,"=""274991616X""","=""9782749916163""",4,3.93,Michel Lafon,Paperback,248,2012,2012,,2017/09/23,,,read,,,,1,,,0,,,,,
43035,White Fang,Jack London,"London, Jack",,"=""0439236193""","=""9780439236195""",4,3.97,Scholastic Paperbacks,Mass Market Paperback,252,2001,1905,,2017/09/23,,,read,,,,1,,,0,,,,,
2932,Robinson Crusoe,Daniel Defoe,"Defoe, Daniel","Virginia Woolf, Lynd Ward, Marcia Kupstas, Mark F. Smith, Mustafa Bahar, Thomas Stothard, Joaquín Gallardo","=""0375757325""","=""9780375757327""",5,3.67,Modern Library,Paperback,320,2001,1719,,2017/09/23,,,read,,,,1,,,0,,,,,
